VITEEE Score,Category,Gender,Assigned College,Assigned Branch
117,General,Male,VIT Vellore,Mechanical
103,SC/ST,Female,VIT Chennai,Civil
121,OBC,Male,VIT Bhopal,EEE
99,EWS,Female,VIT AP,Biotech
118,General,Male,VIT Vellore,CSE
104,SC/ST,Female,VIT Chennai,ECE
122,OBC,Male,VIT Bhopal,Mechanical
100,EWS,Female,VIT AP,Civil
119,General,Male,VIT Vellore,EEE
105,SC/ST,Female,VIT Chennai,Biotech
123,OBC,Male,VIT Bhopal,CSE
101,EWS,Female,VIT AP,ECE
120,General,Male,VIT Vellore,Mechanical
106,SC/ST,Female,VIT Chennai,Civil
124,OBC,Male,VIT Bhopal,EEE
102,EWS,Female,VIT AP,Biotech
125,General,Male,VIT Vellore,CSE
107,SC/ST,Female,VIT Chennai,ECE
110,OBC,Male,VIT Bhopal,Mechanical
108,EWS,Female,VIT AP,Civil
115,General,Male,VIT Vellore,EEE
109,SC/ST,Female,VIT Chennai,Biotech
113,OBC,Male,VIT Bhopal,CSE
111,EWS,Female,VIT AP,ECE
116,General,Male,VIT Vellore,Mechanical
112,SC/ST,Female,VIT Chennai,Civil
114,OBC,Male,VIT Bhopal,EEE
98,EWS,Female,VIT AP,Biotech
95,General,Male,VIT Vellore,CSE
97,SC/ST,Female,VIT Chennai,ECE
94,OBC,Male,VIT Bhopal,Mechanical
96,EWS,Female,VIT AP,Civil
93,General,Male,VIT Vellore,EEE
91,SC/ST,Female,VIT Chennai,Biotech
92,OBC,Male,VIT Bhopal,CSE
90,EWS,Female,VIT AP,ECE
89,General,Male,VIT Vellore,Mechanical
87,SC/ST,Female,VIT Chennai,Civil
88,OBC,Male,VIT Bhopal,EEE
86,EWS,Female,VIT AP,Biotech
85,General,Male,VIT Vellore,CSE
83,SC/ST,Female,VIT Chennai,ECE
84,OBC,Male,VIT Bhopal,Mechanical
82,EWS,Female,VIT AP,Civil
81,General,Male,VIT Vellore,EEE
79,SC/ST,Female,VIT Chennai,Biotech
80,OBC,Male,VIT Bhopal,CSE
78,EWS,Female,VIT AP,ECE
77,General,Male,VIT Vellore,Mechanical
75,SC/ST,Female,VIT Chennai,Civil
76,OBC,Male,VIT Bhopal,EEE
74,EWS,Female,VIT AP,Biotech
73,General,Male,VIT Vellore,CSE
71,SC/ST,Female,VIT Chennai,ECE
72,OBC,Male,VIT Bhopal,Mechanical
70,EWS,Female,VIT AP,Civil
69,General,Male,VIT Vellore,EEE
67,SC/ST,Female,VIT Chennai,Biotech
68,OBC,Male,VIT Bhopal,CSE
66,EWS,Female,VIT AP,ECE
65,General,Male,VIT Vellore,Mechanical
63,SC/ST,Female,VIT Chennai,Civil
64,OBC,Male,VIT Bhopal,EEE
62,EWS,Female,VIT AP,Biotech
61,General,Male,VIT Vellore,CSE
59,SC/ST,Female,VIT Chennai,ECE
60,OBC,Male,VIT Bhopal,Mechanical
58,EWS,Female,VIT AP,Civil
95,SC/ST,Male,VIT Vellore,CSE
87,OBC,Female,VIT Chennai,ECE
102,EWS,Male,VIT Bhopal,Mechanical
80,General,Female,VIT AP,Civil
110,SC/ST,Male,VIT Vellore,EEE
78,OBC,Female,VIT Chennai,Biotech
93,EWS,Male,VIT Bhopal,CSE
85,General,Female,VIT AP,ECE
100,SC/ST,Male,VIT Vellore,Mechanical
82,OBC,Female,VIT Chennai,Civil
98,EWS,Male,VIT Bhopal,EEE
75,General,Female,VIT AP,Biotech
108,SC/ST,Male,VIT Vellore,CSE
83,OBC,Female,VIT Chennai,ECE
96,EWS,Male,VIT Bhopal,Mechanical
79,General,Female,VIT AP,Civil
112,SC/ST,Male,VIT Vellore,EEE
77,OBC,Female,VIT Chennai,Biotech
94,EWS,Male,VIT Bhopal,CSE
88,General,Female,VIT AP,ECE
91,SC/ST,Male,VIT Vellore,Mechanical
84,OBC,Female,VIT Chennai,Civil
99,EWS,Male,VIT Bhopal,EEE
76,General,Female,VIT AP,Biotech
107,SC/ST,Male,VIT Vellore,CSE
81,OBC,Female,VIT Chennai,ECE
97,EWS,Male,VIT Bhopal,Mechanical
86,General,Female,VIT AP,Civil
105,SC/ST,Male,VIT Vellore,EEE
73,OBC,Female,VIT Chennai,Biotech
92,EWS,Male,VIT Bhopal,CSE
89,General,Female,VIT AP,ECE
103,SC/ST,Male,VIT Vellore,Mechanical
74,OBC,Female,VIT Chennai,Civil
101,EWS,Male,VIT Bhopal,EEE
72,General,Female,VIT AP,Biotech
109,SC/ST,Male,VIT Vellore,CSE
90,OBC,Female,VIT Chennai,ECE
104,EWS,Male,VIT Bhopal,Mechanical
69,General,Female,VIT AP,Civil
115,SC/ST,Male,VIT Vellore,CSE
67,OBC,Female,VIT Chennai,ECE
118,EWS,Male,VIT Bhopal,Mechanical
64,General,Female,VIT AP,Civil
122,SC/ST,Male,VIT Vellore,EEE
70,OBC,Female,VIT Chennai,Biotech
113,EWS,Male,VIT Bhopal,CSE
68,General,Female,VIT AP,ECE
111,SC/ST,Male,VIT Vellore,Mechanical
65,,Female,VIT Chennai,Civil
117,General,Male,VIT Vellore,EEE
63,SC/ST,Female,VIT Chennai,Biotech
119,OBC,Male,VIT Bhopal,CSE
66,EWS,Female,VIT AP,ECE
114,General,Male,VIT Vellore,Mechanical
71,SC/ST,Female,VIT Chennai,Civil
120,OBC,Male,VIT Bhopal,EEE
62,EWS,Female,VIT AP,Biotech
116,General,Male,VIT Vellore,CSE
61,SC/ST,Female,VIT Chennai,ECE
115,OBC,Male,VIT Bhopal,Mechanical
67,EWS,Female,VIT AP,Civil
118,General,Male,VIT Vellore,EEE
64,SC/ST,Female,VIT Chennai,Biotech
122,OBC,Male,VIT Bhopal,CSE
70,EWS,Female,VIT AP,ECE
113,General,Male,VIT Vellore,Mechanical
68,SC/ST,Female,VIT Chennai,Civil
111,OBC,Male,VIT Bhopal,EEE
65,EWS,Female,VIT AP,Biotech
124,General,Male,VIT Vellore,CSE
59,SC/ST,Female,VIT Chennai,ECE
126,OBC,Male,VIT Bhopal,Mechanical
58,EWS,Female,VIT AP,Civil
130,General,Male,VIT Vellore,EEE
56,SC/ST,Female,VIT Chennai,Biotech
123,OBC,Male,VIT Bhopal,CSE
60,EWS,Female,VIT AP,ECE
125,General,Male,VIT Vellore,Mechanical
57,SC/ST,Female,VIT Chennai,Civil
121,OBC,Male,VIT Bhopal,EEE
55,EWS,Female,VIT AP,Biotech
128,General,Male,VIT Vellore,CSE
54,SC/ST,Female,VIT Chennai,ECE
127,OBC,Male,VIT Bhopal,Mechanical
53,EWS,Female,VIT AP,Civil
132,General,Male,VIT Vellore,EEE
51,SC/ST,Female,VIT Chennai,Biotech
129,OBC,Male,VIT Bhopal,CSE
52,EWS,Female,VIT AP,ECE
131,General,Male,VIT Vellore,Mechanical
50,SC/ST,Female,VIT Chennai,Civil
133,OBC,Male,VIT Bhopal,EEE
49,EWS,Female,VIT AP,Biotech
134,General,Male,VIT Vellore,CSE
48,SC/ST,Female,VIT Chennai,ECE
135,OBC,Male,VIT Bhopal,Mechanical
47,EWS,Female,VIT AP,Civil
137,General,Male,VIT Vellore,EEE
46,SC/ST,Female,VIT Chennai,Biotech
139,OBC,Male,VIT Bhopal,CSE
45,EWS,Female,VIT AP,ECE
138,General,Male,VIT Vellore,Mechanical
44,SC/ST,Female,VIT Chennai,Civil
140,OBC,Male,VIT Bhopal,EEE
43,EWS,Female,VIT AP,Biotech
136,General,Male,VIT Vellore,CSE
42,SC/ST,Female,VIT Chennai,ECE
141,OBC,Male,VIT Bhopal,Mechanical
41,EWS,Female,VIT AP,Civil
142,General,Male,VIT Vellore,EEE
40,SC/ST,Female,VIT Chennai,Biotech
143,OBC,Male,VIT Bhopal,CSE
39,EWS,Female,VIT AP,ECE
144,General,Male,VIT Vellore,Mechanical
38,SC/ST,Female,VIT Chennai,Civil
145,OBC,Male,VIT Bhopal,EEE
37,EWS,Female,VIT AP,Biotech
146,General,Male,VIT Vellore,CSE
36,SC/ST,Female,VIT Chennai,ECE
147,OBC,Male,VIT Bhopal,Mechanical
35,EWS,Female,VIT AP,Civil
148,General,Male,VIT Vellore,EEE
34,SC/ST,Female,VIT Chennai,Biotech
149,OBC,Male,VIT Bhopal,CSE
33,EWS,Female,VIT AP,ECE
150,General,Male,VIT Vellore,Mechanical
32,SC/ST,Female,VIT Chennai,Civil
151,OBC,Male,VIT Bhopal,EEE
31,EWS,Female,VIT AP,Biotech
152,General,Male,VIT Vellore,CSE
30,SC/ST,Female,VIT Chennai,ECE
153,OBC,Male,VIT Bhopal,Mechanical
29,EWS,Female,VIT AP,Civil
154,General,Male,VIT Vellore,EEE
28,SC/ST,Female,VIT Chennai,Biotech
155,OBC,Male,VIT Bhopal,CSE
27,EWS,Female,VIT AP,ECE
156,General,Male,VIT Vellore,Mechanical
26,SC/ST,Female,VIT Chennai,Civil
157,OBC,Male,VIT Bhopal,EEE
25,EWS,Female,VIT AP,Biotech
158,General,Male,VIT Vellore,CSE
24,SC/ST,Female,VIT Chennai,ECE
159,OBC,Male,VIT Bhopal,Mechanical
23,EWS,Female,VIT AP,Civil
160,General,Male,VIT Vellore,EEE
22,SC/ST,Female,VIT Chennai,Biotech
161,OBC,Male,VIT Bhopal,CSE
21,EWS,Female,VIT AP,ECE
162,General,Male,VIT Vellore,Mechanical
20,SC/ST,Female,VIT Chennai,Civil
163,OBC,Male,VIT Bhopal,EEE
19,EWS,Female,VIT AP,Biotech
164,General,Male,VIT Vellore,CSE
18,SC/ST,Female,VIT Chennai,ECE
165,OBC,Male,VIT Bhopal,Mechanical
17,EWS,Female,VIT AP,Civil
166,General,Male,VIT Vellore,EEE
16,SC/ST,Female,VIT Chennai,Biotech
167,OBC,Male,VIT Bhopal,CSE
15,EWS,Female,VIT AP,ECE
168,General,Male,VIT Vellore,Mechanical
14,SC/ST,Female,VIT Chennai,Civil
169,OBC,Male,VIT Bhopal,EEE
13,EWS,Female,VIT AP,Biotech
170,General,Male,VIT Vellore,CSE
12,SC/ST,Female,VIT Chennai,ECE
171,OBC,Male,VIT Bhopal,Mechanical
11,EWS,Female,VIT AP,Civil
172,General,Male,VIT Vellore,EEE
10,SC/ST,Female,VIT Chennai,Biotech
173,OBC,Male,VIT Bhopal,CSE
9,EWS,Female,VIT AP,ECE
174,General,Male,VIT Vellore,Mechanical
8,SC/ST,Female,VIT Chennai,Civil
175,OBC,Male,VIT Bhopal,EEE
7,EWS,Female,VIT AP,Biotech
176,General,Male,VIT Vellore,CSE
6,SC/ST,Female,VIT Chennai,ECE
177,OBC,Male,VIT Bhopal,Mechanical
5,EWS,Female,VIT AP,Civil
178,General,Male,VIT Vellore,EEE
4,SC/ST,Female,VIT Chennai,Biotech
179,OBC,Male,VIT Bhopal,CSE
3,EWS,Female,VIT AP,ECE
180,General,Male,VIT Vellore,Mechanical
2,SC/ST,Female,VIT Chennai,Civil
181,OBC,Male,VIT Bhopal,EEE
1,EWS,Female,VIT AP,Biotech
182,General,Male,VIT Vellore,CSE
0,SC/ST,Female,VIT Chennai,ECE
